2018-07-03 21:44:37,302 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-03 21:45:06,380 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.itheima.erp:erp_biz:0.0.1-SNAPSHOT @ E:\eclipseworkspace\erp\erp_parent\erp_biz\pom.xml.
2018-07-03 21:45:06,539 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_biz/src/main/java
2018-07-03 21:45:06,539 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_biz/src/main/resources
2018-07-03 21:45:06,540 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /erp_biz/src/test/java
2018-07-03 21:45:06,540 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /erp_biz/src/test/resources
2018-07-03 21:45:06,723 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-03 21:45:06,724 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-03 21:45:06,724 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-03 21:45:06,725 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-03 21:45:06,760 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.itheima.erp:erp_parent:0.0.1-SNAPSHOT @ E:\eclipseworkspace\erp\erp_parent\pom.xml.
2018-07-03 21:45:06,958 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.itheima.erp:erp_dao:0.0.1-SNAPSHOT @ E:\eclipseworkspace\erp\erp_parent\erp_dao\pom.xml.
2018-07-03 21:45:06,972 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.itheima.erp:erp_entity:0.0.1-SNAPSHOT @ E:\eclipseworkspace\erp\erp_parent\erp_entity\pom.xml.
2018-07-03 21:45:06,985 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.itheima.erp:erp_biz:0.0.1-SNAPSHOT @ E:\eclipseworkspace\erp\erp_parent\erp_biz\pom.xml.
